seder,masechta,perek_num,perek_id,eman_done,eman_date,yehuda_done,yehuda_date,eman_mishnayos,yehuda_mishnayos
Zeraim,Berachos,1,Zeraim.Berachos.1,FALSE,,FALSE,,,
Zeraim,Berachos,2,Zeraim.Berachos.2,FALSE,,FALSE,,,
Zeraim,Berachos,3,Zeraim.Berachos.3,FALSE,,FALSE,,,
Zeraim,Berachos,4,Zeraim.Berachos.4,FALSE,,FALSE,,,
Zeraim,Berachos,5,Zeraim.Berachos.5,FALSE,,FALSE,,,
Zeraim,Berachos,6,Zeraim.Berachos.6,FALSE,,FALSE,,,
Zeraim,Berachos,7,Zeraim.Berachos.7,FALSE,,FALSE,,,
Zeraim,Berachos,8,Zeraim.Berachos.8,FALSE,,FALSE,,,
Zeraim,Berachos,9,Zeraim.Berachos.9,FALSE,,FALSE,,,
Zeraim,Peah,1,Zeraim.Peah.1,FALSE,,FALSE,,,
Zeraim,Peah,2,Zeraim.Peah.2,FALSE,,FALSE,,,
Zeraim,Peah,3,Zeraim.Peah.3,FALSE,,FALSE,,,
Zeraim,Peah,4,Zeraim.Peah.4,FALSE,,FALSE,,,
Zeraim,Peah,5,Zeraim.Peah.5,FALSE,,FALSE,,,
Zeraim,Peah,6,Zeraim.Peah.6,FALSE,,FALSE,,,
Zeraim,Peah,7,Zeraim.Peah.7,FALSE,,FALSE,,,
Zeraim,Peah,8,Zeraim.Peah.8,FALSE,,FALSE,,,
Zeraim,Demai,1,Zeraim.Demai.1,FALSE,,FALSE,,,
Zeraim,Demai,2,Zeraim.Demai.2,FALSE,,FALSE,,,
Zeraim,Demai,3,Zeraim.Demai.3,FALSE,,FALSE,,,
Zeraim,Demai,4,Zeraim.Demai.4,FALSE,,FALSE,,,
Zeraim,Demai,5,Zeraim.Demai.5,FALSE,,FALSE,,,
Zeraim,Demai,6,Zeraim.Demai.6,FALSE,,FALSE,,,
Zeraim,Demai,7,Zeraim.Demai.7,FALSE,,FALSE,,,
Zeraim,Kilayim,1,Zeraim.Kilayim.1,FALSE,,FALSE,,,
Zeraim,Kilayim,2,Zeraim.Kilayim.2,FALSE,,FALSE,,,
Zeraim,Kilayim,3,Zeraim.Kilayim.3,FALSE,,FALSE,,,
Zeraim,Kilayim,4,Zeraim.Kilayim.4,FALSE,,FALSE,,,
Zeraim,Kilayim,5,Zeraim.Kilayim.5,FALSE,,FALSE,,,
